timestamp,free_heap_kb,stack_hwm_bytes,net_activity,msg_size,sign_time_ms,label,true_algo
1761018478839,248.06,6064,1,128,145.02,1,0
1761018480991,237.62,6064,2,1024,150.71,1,0
1761018483374,248.06,6064,1,256,383.28,0,0
1761018485592,237.62,6064,2,32,216.53,0,0
1761018487747,248.06,6064,1,256,154.71,1,0
1761018489898,247.74,6064,1,256,149.98,1,0
1761018492053,237.62,6064,2,32,154.99,1,0
1761018494204,248.06,6064,1,64,149.64,1,0
1761018496364,237.83,6064,2,512,157.54,1,0
1761018498494,248.27,6064,1,1024,128.98,1,0
1761018500671,238.04,6064,2,64,176.15,1,0
1761018502911,248.48,6064,1,512,239.58,0,0
1761018505288,238.24,6064,2,512,376.03,0,0
1761018507409,242.45,6064,1,32,119.68,1,0
1761018509601,248.68,6064,1,64,191.19,1,0
1761018512018,238.24,6064,2,64,415.91,0,0
1761018514270,248.89,6064,1,64,251.49,0,0
1761018516624,238.45,6064,2,1024,350.88,0,0
1761018518980,248.89,6064,1,512,355.36,0,0
1761018521233,238.45,6064,2,64,251.44,0,0
1761018523380,248.89,6064,1,64,145.77,1,0
1761018525632,238.45,6064,2,256,251.92,0,0
1761018528396,248.68,6064,1,1024,760.65,0,0
1761018531063,238.24,6064,2,64,666.58,0,0
1761018533218,248.48,6064,1,32,153.71,1,0
1761018535365,248.68,6064,1,512,145.7,1,0
1761018537623,238.24,6064,2,32,257.06,0,0
1761018539972,248.48,6064,1,64,348.65,0,0
1761018542142,238.04,6064,2,128,168.64,1,0
1761018544474,248.27,6064,1,64,331.48,0,0
1761018546730,237.83,6064,2,32,254.02,0,0
1761018548877,248.06,6064,1,256,145.92,1,0
1761018551044,237.62,6064,2,256,166.48,1,0
1761018553183,247.86,6064,1,64,137.18,1,0
1761018555327,237.62,6064,2,512,143.04,1,0
1761018557995,247.86,6064,1,512,666.23,0,0
1761018560241,237.62,6064,2,64,244.71,0,0
1761018562501,247.82,6064,1,128,258.47,0,0
1761018564870,237.62,6064,2,1024,367.29,0,0
1761018567009,247.86,6064,1,128,138.49,1,0
1761018569156,237.62,6064,2,512,146.35,1,0
1761018571308,247.86,6064,1,512,152.2,1,0
1761018573460,237.62,6064,2,1024,149.37,1,0
1761018575606,247.86,6064,1,32,144.47,1,0
1761018577792,237.62,6064,2,128,184.35,1,0
1761018580111,247.86,6064,1,128,318.18,0,0
1761018582365,237.62,6064,2,256,252.1,0,0
1761018584516,247.86,6064,1,64,149.59,1,0
1761018586769,237.62,6064,2,128,251.61,0,0
1761018589123,247.86,6064,1,32,352.95,0,0
1761018591270,237.62,6064,2,128,145.87,1,0
1761018593438,247.82,6064,1,128,166.81,1,0
1761018595576,247.86,6064,1,128,137.68,1,0
1761018597828,237.62,6064,2,512,249.53,0,0
1761018600281,247.86,6064,1,1024,450.99,0,0
1761018602640,237.62,6064,2,64,358.18,0,0
1761018604790,247.86,6064,1,256,148.44,1,0
1761018607245,237.62,6064,2,128,453.66,0,0
1761018609604,247.86,6064,1,1024,358.42,0,0
1761018612071,237.62,6064,2,64,465.87,0,0
1761018616461,247.86,6064,1,128,2387.67,0,0
1761018619021,237.62,6064,2,32,558.78,0,0
1761018621378,247.86,6064,1,256,356.84,0,0
1761018623527,237.62,6064,2,256,148.16,1,0
1761018625680,247.86,6064,1,1024,151.13,1,0
1761018627863,237.62,6064,2,512,182.06,1,0
1761018629982,247.86,6064,1,512,117.71,1,0
1761018632132,237.62,6064,2,1024,148.59,1,0
1761018635817,247.86,6064,1,512,1683.29,0,0
1761018637968,237.62,6064,2,256,150.87,1,0
1761018640118,247.86,6064,1,512,146.92,1,0
1761018642366,237.62,6064,2,32,247.48,0,0
1761018645951,247.86,6064,1,1024,1582.38,0,0
1761018648104,237.62,6064,2,1024,150.46,1,0
1761018650262,247.63,6064,1,256,157.12,1,0
1761018652406,247.86,6064,1,64,142.74,1,0
1761018654557,237.62,6064,2,32,149.79,1,0
1761018657015,247.86,6064,1,64,457.4,0,0
1761018659264,237.62,6064,2,512,247.17,0,0
1761018661725,247.86,6064,1,32,460.77,0,0
1761018664099,237.62,6064,2,256,372.59,0,0
1761018666231,247.86,6064,1,32,131.12,1,0
1761018669440,237.62,6064,2,64,1208.72,0,0
1761018671775,247.86,6064,1,128,332.41,0,0
1761018676833,237.62,6064,2,1024,9999.0,0,0
1761018679128,247.86,6064,1,512,293.46,0,0
1761018681279,237.62,6064,2,128,150.85,1,0
1761018683542,241.7,6064,1,256,261.7,0,0
1761018686327,247.86,6064,1,128,783.43,0,0
1761018688652,237.62,6064,2,64,324.16,0,0
1761018690806,247.86,6064,1,256,153.15,1,0
1761018692958,237.62,6064,2,64,150.71,1,0
1761018695209,247.86,6064,1,128,250.21,0,0
1761018697563,237.62,6064,2,512,352.18,0,0
1761018699817,247.86,6064,1,1024,251.82,0,0
1761018702169,237.62,6064,2,1024,349.56,0,0
1761018704319,247.86,6064,1,512,147.96,1,0
1761018706486,237.62,6064,2,128,165.59,1,0
1761018709997,247.86,6064,1,256,1509.18,0,0
1761018712313,237.62,6064,2,512,314.16,0,0
1761018714472,247.86,6064,1,32,158.97,1,0
1761018716613,237.62,6064,2,32,138.32,1,0
1761018718863,247.86,6064,1,64,248.15,0,0
1761018721223,237.62,6064,2,256,357.82,0,0
1761018723373,247.86,6064,1,64,148.7,1,0
1761018725519,237.62,6064,2,128,144.83,1,0
1761018727676,247.82,6064,1,128,155.9,1,0
1761018729820,247.86,6064,1,64,144.17,1,0
1761018731971,237.62,6064,2,1024,148.29,1,0
1761018734124,247.86,6064,1,256,151.98,1,0
1761018736376,237.62,6064,2,64,250.81,0,0
1761018738729,247.86,6064,1,1024,351.09,0,0
1761018740880,237.62,6064,2,512,149.72,1,0
1761018743030,247.86,6064,1,64,148.14,1,0
1761018745180,237.62,6064,2,64,148.88,1,0
1761018747274,247.86,6064,1,128,93.24,1,0
1761018749477,237.62,6064,2,64,201.31,0,0
1761018751738,247.86,6064,1,512,260.02,0,0
1761018754203,237.62,6064,2,512,463.79,0,0
1761018756548,247.86,6064,1,256,343.12,0,0
1761018758698,237.62,6064,2,64,149.26,1,0
1761018760847,247.86,6064,1,64,147.34,1,0
1761018762944,237.62,6064,2,1024,94.61,1,0
1761018765149,247.7,6064,1,32,204.67,0,0
1761018767298,247.86,6064,1,256,147.22,1,0
1761018769472,237.62,6064,2,256,172.97,1,0
1761018771632,247.82,6064,1,64,158.75,1,0
1761018773774,237.62,6064,2,256,140.6,1,0
1761018775899,247.86,6064,1,1024,124.23,1,0
1761018778079,237.62,6064,2,256,179.47,1,0
1761018780201,247.82,6064,1,512,119.89,1,0
1761018782456,237.62,6064,2,512,253.68,0,0
1761018784813,247.86,6064,1,64,356.14,0,0
1761018786987,237.62,6064,2,32,172.49,1,0
1761018789461,247.86,6064,1,1024,472.25,0,0
1761018792205,237.62,6064,2,128,742.48,0,0
1761018794277,247.86,6064,1,1024,69.8,1,0
1761018796679,237.62,6064,2,64,400.3,0,0
1761018799038,247.86,6064,1,32,355.89,0,0
1761018801397,237.62,6064,2,64,357.79,0,0
1761018803648,247.7,6064,1,1024,248.59,0,0
1761018806007,237.64,6064,1,32,357.3,0,0
1761018808190,237.62,6064,2,256,182.27,1,0
1761018810405,247.86,6064,1,64,214.03,0,0
1761018812763,237.62,6064,2,64,354.56,0,0
1761018814857,247.86,6064,1,32,93.64,1,0
1761018817007,237.62,6064,2,256,148.63,1,0
1761018819464,247.86,6064,1,1024,456.0,0,0
1761018821980,237.62,6064,2,256,514.39,0,0
1761018824125,247.86,6064,1,128,144.16,1,0
1761018826225,237.62,6064,2,256,97.71,1,0
1761018828428,247.86,6064,1,32,201.84,0,0
1761018830785,237.62,6064,2,512,355.5,0,0
1761018833051,247.86,6064,1,1024,263.11,0,0
1761018835197,237.62,6064,2,512,144.03,1,0
1761018837335,247.86,6064,1,64,137.42,1,0
1761018839630,237.62,6064,2,128,293.83,0,0
1761018841943,247.86,6064,1,64,311.49,0,0
1761018844041,237.62,6064,2,32,97.29,1,0
1761018848434,247.86,6064,1,32,2392.62,0,0
1761018850548,237.62,6064,2,32,112.81,1,0
1761018852802,241.89,6064,1,1024,251.64,0,0
1761018855153,247.86,6064,1,512,349.8,0,0
1761018857511,237.62,6064,2,64,356.4,0,0
1761018859764,247.86,6064,1,512,250.98,0,0
1761018861914,237.62,6064,2,128,148.94,1,0
1761018864472,247.86,6064,1,256,556.64,0,0
1761018866852,237.43,6064,2,256,378.54,0,0
1761018869162,247.86,6064,1,128,308.99,0,0
1761018871640,237.62,6064,2,512,476.9,0,0
1761018873945,247.86,6064,1,512,302.59,0,0
1761018877974,237.62,6064,2,128,2027.75,0,0
1761018880384,247.86,6064,1,1024,407.58,0,0
1761018882497,237.62,6064,2,256,111.23,1,0
1761018884647,247.86,6064,1,256,149.06,1,0
1761018886937,237.67,6064,1,32,288.58,0,0
1761018889251,237.62,6064,2,512,312.88,0,0
1761018891409,247.86,6064,1,64,157.26,1,0
1761018893564,237.62,6064,2,128,153.62,1,0
1761018895655,247.86,6064,1,128,90.03,1,0
1761018897862,237.62,6064,2,128,206.31,0,0
1761018900109,247.86,6064,1,1024,245.83,0,0
1761018902473,237.62,6064,2,128,363.26,0,0
1761018904622,247.86,6064,1,1024,145.72,1,0
1761018906770,237.62,6064,2,512,147.37,1,0
1761018908958,247.86,6064,1,256,186.23,1,0
1761018911374,237.62,6064,2,64,415.0,0,0
1761018913527,247.82,6064,1,128,151.03,1,0
1761018915678,247.86,6064,1,256,149.42,1,0
1761018917825,237.62,6064,2,256,146.25,1,0
1761018919977,247.86,6064,1,32,150.74,1,0
1761018922327,237.62,6064,2,32,349.38,0,0
1761018924686,247.86,6064,1,128,356.87,0,0
1761018927182,237.62,6064,2,64,495.09,0,0
1761018929502,247.86,6064,1,32,319.1,0,0
1761018931697,237.62,6064,2,256,193.16,1,0
